Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Check login and swipe button,,,,2019-08-27 14:04:48,2019-08-27 14:05:10,21.960s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 14:04:48,2019-08-27 14:05:10,21.775s,INCOMPLETE
"callTestCase(findTestCase(""Mobile Drivers/Initial""), [:], STOP_ON_FAILURE)",,,,2019-08-27 14:04:49,2019-08-27 14:05:10,21.609s,FAILED
Start listener action : exportKatalonReports,,,,2019-08-27 14:05:10,2019-08-27 14:05:10,0.000s,INCOMPLETE
