Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create single orders,Firefox 68.0,,,2019-08-27 00:18:36,2019-08-27 00:19:07,31.350s,INCOMPLETE
,,,,,,,
Test Cases/Web Ritase/Login/Login Shippers (DIRA XL),Firefox 68.0,,,2019-08-27 00:18:36,2019-08-27 00:18:49,12.606s,PASSED
"runFeatureFile(""Include/features/Web/Login/LoginShippers.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 00:18:36,2019-08-27 00:18:49,12.470s,PASSED
,,,,,,,
Test Cases/Web Ritase/Orders/Single Orders (DIRA XL),Firefox 68.0,,,2019-08-27 00:18:49,2019-08-27 00:19:07,18.586s,PASSED
"runFeatureFile(""Include/features/Web/Orders/SingleOrderXL.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 00:18:49,2019-08-27 00:19:07,18.516s,PASSED
