Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create single orders,Firefox 68.0,,,2019-08-27 15:49:00,2019-08-27 15:49:32,31.454s,INCOMPLETE
,,,,,,,
Test Cases/Web Ritase/Login/Login Shippers (DIRA XL),Firefox 68.0,,,2019-08-27 15:49:00,2019-08-27 15:49:14,13.248s,PASSED
"runFeatureFile(""Include/features/Web/Login/LoginShippers.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 15:49:01,2019-08-27 15:49:14,13.045s,PASSED
,,,,,,,
Test Cases/Web Ritase/Orders/Single Orders (DIRA XL),Firefox 68.0,,,2019-08-27 15:49:14,2019-08-27 15:49:32,18.017s,PASSED
"runFeatureFile(""Include/features/Web/Orders/SingleOrderXL.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 15:49:14,2019-08-27 15:49:32,17.899s,PASSED
