Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accept Trips,,,,2019-08-27 11:29:36,2019-08-27 11:30:07,31.658s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 11:29:36,2019-08-27 11:29:57,20.893s,FAILED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Login/LoginDrivers.feature"", STOP_ON_FAILURE)",,,,2019-08-27 11:29:36,2019-08-27 11:29:57,20.717s,FAILED
,,,,,,,
Test Cases/Mobile Drivers/Trips/Accept Trips,,,,2019-08-27 11:29:57,2019-08-27 11:30:07,10.573s,FAILED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Trips/AcceptTrips.feature"", STOP_ON_FAILURE)",,,,2019-08-27 11:29:57,2019-08-27 11:30:07,10.460s,FAILED
