Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create single orders,Firefox 68.0,,,2019-08-27 15:29:32,2019-08-27 15:30:05,33.057s,INCOMPLETE
,,,,,,,
Test Cases/Web Ritase/Login/Login Shippers (DIRA XL),Firefox 68.0,,,2019-08-27 15:29:32,2019-08-27 15:29:47,14.970s,PASSED
"runFeatureFile(""Include/features/Web/Login/LoginShippers.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 15:29:32,2019-08-27 15:29:47,14.830s,PASSED
,,,,,,,
Test Cases/Web Ritase/Orders/Single Orders (DIRA XL),Firefox 68.0,,,2019-08-27 15:29:47,2019-08-27 15:30:05,17.920s,PASSED
"runFeatureFile(""Include/features/Web/Orders/SingleOrderXL.feature"", STOP_ON_FAILURE)",Firefox 68.0,,,2019-08-27 15:29:47,2019-08-27 15:30:05,17.825s,PASSED
