Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accept Trips,,,,2019-08-27 08:44:54,2019-08-27 08:46:01,1m - 6.902s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 08:44:55,2019-08-27 08:45:41,46.528s,PASSED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Login/LoginDrivers.feature"", STOP_ON_FAILURE)",,,,2019-08-27 08:44:55,2019-08-27 08:45:41,46.405s,PASSED
,,,,,,,
Test Cases/Mobile Drivers/Trips/Accept Trips,,,,2019-08-27 08:45:41,2019-08-27 08:46:01,20.191s,FAILED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Trips/AcceptTrips.feature"", STOP_ON_FAILURE)",,,,2019-08-27 08:45:41,2019-08-27 08:46:01,20.119s,FAILED
