Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Check login and swipe button,,,,2019-08-27 11:05:49,2019-08-27 11:06:36,47.894s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 11:05:49,2019-08-27 11:06:36,47.747s,FAILED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Login/LoginDrivers.feature"", STOP_ON_FAILURE)",,,,2019-08-27 11:05:49,2019-08-27 11:06:36,47.620s,FAILED
