Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Check login and swipe button,,,,2019-08-27 10:59:34,2019-08-27 11:00:18,44.369s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 10:59:34,2019-08-27 11:00:18,44.206s,PASSED
"runFeatureFile(""Include/features/Mobile/Drivers V2/Login/LoginDrivers.feature"", STOP_ON_FAILURE)",,,,2019-08-27 10:59:34,2019-08-27 11:00:18,44.055s,PASSED
