Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Check login and swipe button,,,,2019-08-27 12:58:06,2019-08-27 12:59:01,54.793s,INCOMPLETE
,,,,,,,
Test Cases/Mobile Drivers/Login/Login Drivers,,,,2019-08-27 12:58:06,2019-08-27 12:59:01,54.613s,INCOMPLETE
"callTestCase(findTestCase(""Mobile Drivers/Initial""), [:], STOP_ON_FAILURE)",,,,2019-08-27 12:58:06,2019-08-27 12:59:01,54.403s,PASSED
Start listener action : exportKatalonReports,,,,2019-08-27 12:59:01,2019-08-27 12:59:01,0.000s,INCOMPLETE
